Primer cuatrimestre | Primer curso | Grupo 1ºA | Álgebra Lineal y Estructuras Matemáticas (ALEM) — Teoría (aula 0.3): Lunes 10:30-11:30, Martes 9:30-10:30, Miércoles 9:30-10:30 Prácticas: subgrupo A1 Martes 12:30-13:30 (aula 1.5); subgrupo A2 Lunes 11:30-12:30 (aula 0.3); subgrupo A3 Miércoles 11:30-12:30 (aula 0.3).
Primer cuatrimestre | Primer curso | Grupo 1ºA | Cálculo (CA) — Teoría (aula 0.3): Martes 10:30-11:30, Viernes 11:30-13:30 Prácticas: subgrupo A1 Martes 11:30-12:30 (aula 3.3); subgrupo A2 Lunes 12:30-13:30 (aula 3.2); subgrupo A3 Miércoles 12:30-13:30 (aula 2.3).
Primer cuatrimestre | Primer curso | Grupo 1ºA | Fundamentos Físicos y Tecnológicos (FFT) — Teoría (aula 0.3): Viernes 10:30-11:30, Viernes 9:30-10:30 Prácticas: subgrupo A1 Miércoles 11:30-13:30 (aula 3.6); subgrupo A2 Martes 11:30-13:30 (aula 3.6); subgrupo A3 Jueves 11:30-13:30 (aula 3.6).
Primer cuatrimestre | Primer curso | Grupo 1ºA | Fundamentos de Programación (FP) — Teoría (aula 0.3): Miércoles 10:30-11:30, Jueves 10:30-11:30 Prácticas: subgrupo A1 Jueves 11:30-13:30 (aula 3.1); subgrupo A2 Miércoles 11:30-13:30 (aula 2.2); subgrupo A3 Lunes 11:30-13:30 (aula 3.3).
Primer cuatrimestre | Primer curso | Grupo 1ºA | Fundamentos del Software (FS) — Teoría (aula 0.3): Lunes 9:30-10:30, Jueves 9:30-10:30 Prácticas: subgrupo A1 Lunes 11:30-13:30 (aula 2.6); subgrupo A2 Jueves 11:30-13:30 (aula 3.5); subgrupo A3 Martes 11:30-13:30 (aula 2.8).
Primer cuatrimestre | Primer curso | Grupo 1ºA | Asignaturas: Álgebra Lineal y Estructuras Matemáticas (ALEM), Cálculo (CA), Fundamentos Físicos y Tecnológicos (FFT), Fundamentos de Programación (FP), Fundamentos del Software (FS).
Segundo cuatrimestre | Primer curso | Grupo 1ºA | Estadística (ES) — Teoría (aula 0.2): Miércoles 10:30-11:30, Miércoles 9:30-10:30, Jueves 10:30-11:30 Prácticas: subgrupo A1 Lunes 9:30-10:30 (aula 2.2); subgrupo A2 Martes 12:30-13:30 (aula 2.2); subgrupo A3 Jueves 11:30-12:30 (aula 3.7).
Segundo cuatrimestre | Primer curso | Grupo 1ºA | Ingeniería, Empresa y Sociedad (IES) — Teoría (aula 0.2): Miércoles 11:30-13:30, Viernes 10:30-11:30, Viernes 9:30-10:30.
Segundo cuatrimestre | Primer curso | Grupo 1ºA | Lógica y Métodos Discretos (LMD) — Teoría (aula 0.2): Martes 10:30-11:30, Martes 9:30-10:30, Viernes 11:30-12:30 Prácticas: subgrupo A1 Lunes 10:30-11:30 (aula 1.3); subgrupo A2 Martes 11:30-12:30 (aula 1.1); subgrupo A3 Jueves 12:30-13:30 (aula 1.4).
Segundo cuatrimestre | Primer curso | Grupo 1ºA | Metodología de la Programación (MP) — Teoría (aula 0.2): Jueves 9:30-10:30, Viernes 12:30-13:30 Prácticas: subgrupo A1 Martes 11:30-13:30 (aula 3.1); subgrupo A2 Jueves 11:30-13:30 (aula 2.3); subgrupo A3 Lunes 10:30-11:30 (aula 3.1), Lunes 9:30-10:30 (aula 3.1).
Segundo cuatrimestre | Primer curso | Grupo 1ºA | Tecnología y Organización de los Computadores (TOC) — Teoría (aula 0.2): Lunes 11:30-13:30 Prácticas: subgrupo A1 Jueves 11:30-13:30 (aula 3.8); subgrupo A2 Lunes 10:30-11:30 (aula 3.8), Lunes 9:30-10:30 (aula 3.8); subgrupo A3 Martes 11:30-13:30 (aula 3.8).
